#,Assembly Constituency,Candidate,Party,Vote,Party,,
273,Kagal,Mushrif Hasan Miyalal,Nationalist Congress Party,116436,Independent,,
274,Kolhapur South,Ruturaj Sanjay Patil,Indian National Congress,140103,Bharatiya Janata Party,,
275,Karvir,P. N. Patil,Indian National Congress,135675,Shiv Sena,,
276,Kolhapur North,Chandrakant Pandit Jadhav,Indian National Congress,91053,Shiv Sena,,
277,Shahuwadi,Dr. Vinay Vilasrao Kore,Jan Surajya Shakti,124868,Shiv Sena,,
278,Hatkanangle,Raju Baba Awale,Indian National Congress,73720,Shiv Sena,,
279,Ichalkaranji,Prakashanna Awade,Independent,116886,Bharatiya Janata Party,,
280,Shirol,Rajendra Shamgonda Patil,Independent,90038,Shiv Sena,,
281,Miraj,Dr. Suresh Khade,Bharatiya Janata Party,96369,Swabhimani Paksha,,
282,Sangli,Sudhir Gadgil,Bharatiya Janata Party,93636,Indian National Congress,,
283,Islampur,Jayant Patil,Nationalist Congress Party,115563,Independent,,
284,Shirala,Mansing Fattesingrao Naik,Nationalist Congress Party,101933,Bharatiya Janata Party,,
285,Palus-Kadegaon,Vishwajeet Kadam,Indian National Congress,171497,None of the Above,,
286,Khanapur,Anilbhau Babar,Shiv Sena,116974,Independent,,
287,Tasgaon-Kavathe Mahankal,Suman Patil,Nationalist Congress Party,128371,Shiv Sena,,
288,Jat,Vikram Balasaheb Sawantl,Indian National Congress,87184,Bharatiya Janata Party,,
